
0,Veg Grilled Sandwich,110
1,Chicken Grilled Sandwich,143
2,Dharwad Peda [100Grm],66
3,Oreo Pastry,132
4,Chicken Sandwich,121
5,Motichur Laddo [100Grm],57.20
6,Cheese Sandwich,110
7,Veg Club Sandwich,110
8,Chocolate Brownie[2Pcs],110
9,Muskmelon Juice,104.50
10,Watermelon Juice,104.50
11,Kesar Kaju Katli[ 100Grm],96.80
12,Donut [3Pcs],88
13,Gulab Jamum [4Pcs],88
14,Ghee Mysour Pak [100grm],77
15,Angoor Rabdi [100Grm],68.20
16,Sweet Lassi,66
17,Milk Cake [100Grm],66
18,Coconut Peda [100Grm],59.40
19,Moongdal Halwa [100Grm],57.20
20,Fresh Lime Water,38.50
21,Veg Sandwich,88
22,Cheese Sandwich,110
23,Veg Club Sandwich,110
24,Veg Grilled Sandwich,110
25,Chicken Sandwich,121
26,Chicken Grilled Sandwich,143
27,Chicken Club Sandwich,143
28,Fresh Fruit Juice,104.50
29,Fresh Lime Water,38.50
30,Cold Coffee,121
31,Peach Iced Tea,77
32,Lemon Iced Tea,77
33,Mineral Water,33
34,Salted Lassi,66
35,Sweet Lassi,66
36,Guava Mary,154
37,Pineapple Paradise,154
38,Apple Pie Mocktail,154
39,Express Martini,154
40,Dune Runner,154
41,Frozen Feast,154
42,Blue Moon,154
43,The Coladas,154
44,Pineapple Juice,104.50
45,Watermelon Juice,104.50
46,Papaya Juice,104.50
47,Muskmelon Juice,104.50
48,Chikoo Milkshake,143
49,Chocolate Milkshake,143
50,Vanilla Milkshake,143
51,Rose Milkshake,143
52,Apple Milkshake,187
53,Gulkand Laddo [100Grm],88
54,Rawa Laddo[ 100Grm],68.20
55,Besan Laddo [100Grm],77
56,Mumbai Ice Halwa Mix[ 500Grm],638
57,Special Mysour Pak [100grm],59.40
58,Ghee Mysour Pak [100grm],77
59,Motichur Laddo [100Grm],57.20
60,Dharwad Peda [100Grm],66
61,Amrith Peda [100Grm],66
62,Coconut Peda [100Grm],59.40
63,Kalakand Barfi [100Grm],66
64,Anjeer Malai Barfi [100Grm],66
65,Mango Barfi [100Grm],66
66,Milk Cake [100Grm],66
67,Malai Sandwich [4Pcs],154
68,Rasgulla [4Pcs],110
69,Gulab Jamum [4Pcs],88
70,Chikku Halwa 100Grm,72
71,Rasm Malai [4Pcs],154
72,Mango Malai Sandwich[ 4Pcs],154
73,Vanilla Malai Sandwich [4pcs],154
74,Malai Chamcham[4Pcs],154
75,Ras Khadam [4Pcs],154
76,Angoor Rabdi [100Grm],68.20
77,Moongdal Halwa [100Grm],57.20
78,Oreo Pastry [2Pcs],132
79,Pastry [2Pcs],120
80,Chocolate Brownie[2Pcs],110
81,Oreo Delight Cake [1/2kg],440
82,Black Foreast Cake [1/2kg],418
83,White Foreast Cake [1/2kg],418
84,Swiss Chocolate Cake [1/2kg],418
85,Dark Chocolate Cake [1/2kg],418
86,Hand Made Chocolate [100grm],110
87,Carmeal Custurd [1pcs],60.50
88,Oreo Pastry,132
89,Pastry,110
90,Chocolate Brownie,110
91,Oreo Delight Cake,440
92,Newyork Truffle Cake,418
93,Black Forest Cake,418
94,White Forest Cake,418
95,Swiss Chocolate Cake,418
96,Dark Chocolate Cake,418
97,Handmade Chocolate,110
98,Caramel Custurd,60.50
99,Strawberry Kaju Katli [100grm],96.80
100,Kaju Katli [100Grm ],92.40
101,Dry Fruit Mix Sweets[ 100Grm],145.20
102,Fancy Dryfruit Sweets Box(500grm),880
103,Milk Sweets Mix Box(500grm),418
104,Kesar Kaju Katli[ 100Grm],96.80
105,Dharwad Peda [100Grm],66
106,Amrith Peda [100Grm],66
107,Coconut Peda [100Grm],59.40
108,Kalakand Barfi [100grm],66
109,Anjeer Malai Barfi [100grm],66
110,Mango Barfi [100Grm],66
111,Milk Cake [100Grm],66
112,Donut [3Pcs],88
113,Moong Dal Kachuri [250grm],132
114,Special Bhakarwadi [200grm],77
